Title,Image,Coder 1 Annotation,Coder 2 Annotation,Coder 4 Annotation
The Death of the Earl of Chatham,https://upload.wikimedia.org/wikipedia/commons/4/4e/The_Death_of_the_Earl_of_Chatham_by_John_Singleton_Copley.jpg,Red Academia,Red Academia,Politicalwave
The Procuress (Vermeer),https://upload.wikimedia.org/wikipedia/commons/b/b0/Johannes_Vermeer_-_The_Procuress_-_Google_Art_Project.jpg,Sigma,Bimbocore,Bimbocore
The Baptism of the Eunuch,https://upload.wikimedia.org/wikipedia/commons/d/d5/Rembrandt%2C_The_Baptism_of_the_Eunuch%2C_1626%2C_Museum_Catharijneconvent%2C_Utrecht.jpg,Peoplehood,Dreamcore,Hopecore
"Saint Sebastian (El Greco, 1576–1579)",https://upload.wikimedia.org/wikipedia/commons/b/b4/Polittico_averoldi_02.jpg,Doomer,Hopecore,Dethereal
Portrait of Pope Paul III (Titian),https://upload.wikimedia.org/wikipedia/commons/e/eb/Titian_-_Pope_Paul_III_-_WGA22962.jpg,Red Academia,Hopecore,Red Academia
Galaxy of Musicians,https://upload.wikimedia.org/wikipedia/commons/f/f6/Raja_Ravi_Varma%2C_Galaxy_of_Musicians.jpg,That Girl,That Girl,Peoplehood
An Ancient Burial Mound by Raklev on Refsnæs,https://upload.wikimedia.org/wikipedia/commons/c/c0/Lundbye%2C_Johan_Thomas_-_En_gravh%C3%B8j_fra_oldtiden_ved_Raklev_p%C3%A5_Refsn%C3%A6s.jpg,Naturecore,Comfy/Cozy,Naturecore
Madonna and Child with Four Saints and Donor,https://upload.wikimedia.org/wikipedia/commons/7/7c/Bellini_Giovanni%2C_Madonna_e_santi_%281507%29.jpg,Dethereal,Southern Gothic,Angelcore
The Luxembourg Station in Brussels,https://upload.wikimedia.org/wikipedia/commons/5/57/Henri_Ottmann%2C_%27The_Luxembourg_Station_in_Brussels%27%2C_1903.jpg,After Hours,Doomer,Doomer
Exemplary Women of Antiquity,https://upload.wikimedia.org/wikipedia/commons/a/a5/Mantegna%2C_tuccia.jpg,That Girl,That Girl,That Girl
The Sin (painting),https://upload.wikimedia.org/wikipedia/commons/3/3e/%D0%A8%D1%82%D1%8E%D0%BA.%D0%93%D1%80%D0%B5%D1%85.jpg,Dethereal,Strega,Waif
Portrait of Robert Orme,https://upload.wikimedia.org/wikipedia/commons/d/de/Robert_Orme%2C_by_Joshua_Reynolds.jpg,Sigma,Old Money,Old Money
The Monk by the Sea,https://upload.wikimedia.org/wikipedia/commons/2/21/Caspar_David_Friedrich_-_Der_M%C3%B6nch_am_Meer_-_Google_Art_Project.jpg,Dreamy,Soft Macabre,Doomer
The Song of Love,https://upload.wikimedia.org/wikipedia/en/1/1b/De_Chirico%27s_Love_Song.jpg,Dreamcore,Dreamcore,Weirdcore
The Death of Captain James Cook (Zoffany),https://upload.wikimedia.org/wikipedia/commons/2/21/Zoffany_Death_of_Captain_Cook.jpg,Peoplehood,Sigma,Weirdcore
The Execution of Lady Jane Grey,https://upload.wikimedia.org/wikipedia/commons/4/49/Delaroche_Jane_Grey_Detail.jpg,Traumacore,Coquette,Traumacore
The Body of the Dead Christ in the Tomb,https://upload.wikimedia.org/wikipedia/commons/e/eb/The_Body_of_the_Dead_Christ_in_the_Tomb%2C_and_a_detail%2C_by_Hans_Holbein_the_Younger.jpg,Angelcore,Sadpeople,Traumacore
The Vow of Louis XIII,https://upload.wikimedia.org/wikipedia/commons/f/f6/Le_Voeu_de_Louis_XIII.jpg,Angelcore,Dreamcore,Angelcore
The Misses Vickers,https://upload.wikimedia.org/wikipedia/commons/1/18/The_Misses_Vickers_John_Singer_Sargent_1884.jpeg,Clean Girl,Messy French It Girl,Clean Girl
The Oyster Dinner,https://upload.wikimedia.org/wikipedia/commons/1/14/Troy%2C_Jean-Fran%C3%A7ois_de_-_Die_Austernmahlzeit_-_1734.jpg,Old Money,Light Academia,Old Money
Aha Oe Feii?,https://upload.wikimedia.org/wikipedia/commons/e/ed/Eh_quoi%21_Tu_es_jaloux%3F_by_Paul_Gauguin.jpg,Lovecore,Warmcore,Teenage Dream
Isabella and the Pot of Basil,https://upload.wikimedia.org/wikipedia/commons/f/f5/Basilpot.jpg,Old Money,Strega,Cottagecore
The Immaculate Conception (Tiepolo),https://upload.wikimedia.org/wikipedia/commons/0/03/The_Immaculate_Conception%2C_by_Giovanni_Battista_Tiepolo%2C_from_Prado_in_Google_Earth.jpg,Angelcore,Angelcore,Angelcore
The King's Sick Son,https://upload.wikimedia.org/wikipedia/commons/9/9e/Antonio_Bellucci_-_Antiochus_and_Stratonice_-_WGA01844.jpg,Traumacore,Peoplehood,Traumacore
The Cornell Farm,https://upload.wikimedia.org/wikipedia/commons/e/ee/Edward_Hicks_-_The_Cornell_Farm.jpg,Cottagecore,Southern Gothic,Cottagecore
"A Girl in the Street, Two Coaches in the Background",https://upload.wikimedia.org/wikipedia/commons/e/e3/Girl_in_the_Street%2C_Two_Coaches_in_the_Background%2C_A.jpg,Cottagecore,Coquette,Teenage Dream
Minerva Protecting Peace from Mars,https://upload.wikimedia.org/wikipedia/commons/6/64/Peter_Paul_Rubens_%281577-1640%29_Peace_and_War_%281629%29.jpg,Politicalwave,That Girl,Dreamcore
Marcus Curius Dentatus refuses the gifts of the Samnites,https://upload.wikimedia.org/wikipedia/commons/b/bc/Govaert_Flinck_-_The_incorruptible_Consul_Marcus_Curius_Dentatus_-_Google_Art_Project.jpg,Red Academia,Old Money,Red Academia
Black Leaf on Green Background,https://upload.wikimedia.org/wikipedia/en/7/7f/Black_Leaf.jpg,Naturecore,Naturecore,Naturecore
Cymon and Iphigenia (painting),https://upload.wikimedia.org/wikipedia/commons/b/bb/Lord_Frederic_Leighton_-_Cymon_and_Iphigenia_-_Google_Art_Project.jpg,Clean Girl,Ethereal,Sleepycore
The Blind Leading the Blind,https://upload.wikimedia.org/wikipedia/commons/2/2f/Pieter_Bruegel_the_Elder_%281568%29_The_Blind_Leading_the_Blind.jpg,Southern Gothic,Southern Gothic,Southern Gothic
The Wrestlers (Courbet),https://upload.wikimedia.org/wikipedia/commons/c/c8/Gustave_Courbet_-_The_Wrestlers_-_Google_Art_Project.jpg,Sigma,Sigma,Sigma
Spring Scattering Stars,https://upload.wikimedia.org/wikipedia/commons/9/97/Edwin_Blashfield_-_Spring_Scattering_Stars.jpg,Ethereal,Ethereal,Ethereal
Christ among the Doctors (Dürer),https://upload.wikimedia.org/wikipedia/commons/6/64/Albrecht_D%C3%BCrer_-_Jesus_among_the_Doctors_-_Google_Art_Project.jpg,Angelcore,That Girl,Dark Academia
The Defence of Rorke's Drift,https://upload.wikimedia.org/wikipedia/commons/2/20/Alphonse_de_Neuville_-_The_defence_of_Rorke%27s_Drift_1879_-_Google_Art_Project.jpg,Trenchcore,Sigma,Trenchcore
An Old Man and his Grandson,https://upload.wikimedia.org/wikipedia/commons/5/53/Domenico_ghirlandaio%2C_ritratto_di_nonno_con_nipote.jpg,Grandpacore,Grandpacore,Grandpacore
Landscape near Beauvais,https://upload.wikimedia.org/wikipedia/commons/0/0c/Boucher_Francois_-_Landscape_Near_Beauvais.jpg,Cottagecore,Cottagecore,Cottagecore
Melancholy (Edvard Munch),https://upload.wikimedia.org/wikipedia/commons/d/d5/Edvard_Munch_-_Melancholy_%281894%29.jpg,Sadpeople,After Hours,Sadpeople
Stevenson Memorial,https://upload.wikimedia.org/wikipedia/commons/3/37/Stevenson_Memorial_1903_Abbott_Thayer.jpg,Angelcore,Angelcore,Angelcore
Portrait of a Woman (van der Weyden),https://upload.wikimedia.org/wikipedia/commons/6/65/Rogier_van_der_Weyden_-_Portrait_of_a_Lady_-_Google_Art_Project.jpg,Clean Girl,That Girl,Clean Girl
El Soplón,https://upload.wikimedia.org/wikipedia/commons/7/7b/El_Greco_-_A_Boy_Blowing_on_an_Ember_to_Light_a_Candle_%28Sopl%C3%B3n%29_-_WGA10422.jpg,Soft Macabre,Comfy/Cozy,Peoplehood
Pink and Blue (Renoir),https://upload.wikimedia.org/wikipedia/commons/4/4c/Renoir_Mlles_Cahen_d_Anvers.jpg,Coquette,Coquette,Coquette
Wheatfield with Crows,https://upload.wikimedia.org/wikipedia/commons/d/d3/Vincent_Van_Gogh_-_Wheatfield_with_Crows.jpg,Naturecore,Castlecore,Naturecore
Portrait of an Elderly Woman,https://upload.wikimedia.org/wikipedia/commons/8/83/Portrait_of_an_Old_Woman_Hans_Memling.jpg,Grandparentcore,Grandpacore,Waif
Aeropittura,https://upload.wikimedia.org/wikipedia/commons/f/fd/Alfredo_Gauro_Ambrosi_%22Aeroritratto_di_Mussolini_aviatore%22.jpg,Sigma,Imaginarium,Weirdcore
Saint George and the Dragon (Raphael),https://upload.wikimedia.org/wikipedia/commons/2/2a/Raphael_-_Saint_George_and_the_Dragon_-_Google_Art_Project.jpg,Castlecore,Castlecore,Castlecore
Annunciation (Pontormo),https://upload.wikimedia.org/wikipedia/commons/9/9e/Jacopo_pontormo%2C_annunciazione%2C_1527-28%2C_01.jpg,Angelcore,Comfy/Cozy,Angelcore
Self-portrait at the age of 34,https://upload.wikimedia.org/wikipedia/commons/1/10/Rembrandt%2C_Self_Portrait_at_the_Age_of_34.jpg,Dark Academia,Dark Academia,Dark Academia
Crucifixion (Nabil Kanso),https://upload.wikimedia.org/wikipedia/en/0/01/Crucifixion_%281983%29.jpg,Southern Gothic,Southern Gothic,Southern Gothic
Young Man at His Window,https://upload.wikimedia.org/wikipedia/commons/a/af/G._Caillebotte_-_Jeune_homme_%C3%A0_la_fen%C3%AAtre.jpg,Comfy/Cozy,Comfy/Cozy,Peoplehood
The Tower of Blue Horses,https://upload.wikimedia.org/wikipedia/commons/7/7f/Franz_Marc_029a.jpg,Imaginarium,Imaginarium,Imaginarium
Stage Fort across Gloucester Harbor,https://upload.wikimedia.org/wikipedia/commons/4/47/Stage_Fort_across_Gloucester_Harbor_MET_DT5586.jpg,Warmcore,Warmcore,Warmcore
Landscape with Psyche Outside the Palace of Cupid,https://upload.wikimedia.org/wikipedia/commons/e/e3/The_enchanted_castle.jpg,Castlecore,Dethereal,Castlecore
"Young Omahaw, War Eagle, Little Missouri, and Pawnees",https://upload.wikimedia.org/wikipedia/commons/4/4c/Charles_Bird_King_-_Young_Omahaw%2C_War_Eagle%2C_Little_Missouri%2C_and_Pawnees_-_Google_Art_Project.jpg,2014 Tumblr,2014 Tumblr,Old Money
"Deposition (van Dyck, 1629-30)",https://upload.wikimedia.org/wikipedia/commons/e/e7/Anthonis_van_Dyck_002.jpg,Soft Macabre,Peoplehood,Hopecore
Psyche Abandoned,https://upload.wikimedia.org/wikipedia/commons/5/57/David_Psyche_1795.jpg,Ethereal,2014 Girly,Clean Girl
View from the Artist's Window,https://upload.wikimedia.org/wikipedia/commons/e/ee/Martinus_R%C3%B8rbye_-_View_from_the_Artist%27s_Window_-_Google_Art_Project.jpg,Comfy/Cozy,Grandparentcore,Bloomcore
Cleopatra Testing Poisons on Condemned Prisoners,https://upload.wikimedia.org/wikipedia/commons/e/e7/Alexandre_Cabanel_-_Cl%C3%A9opatre_essayant_des_poisons_sur_des_condamn%C3%A9s_%C3%A0_mort.jpg,Waif,That Girl,Queencore
The Bar (painting),https://upload.wikimedia.org/wikipedia/en/8/81/John_Brack_-_The_Bar.jpg,Peoplehood,That Girl,Peoplehood
Portrait of Madame X,https://upload.wikimedia.org/wikipedia/commons/a/a4/Madame_X_%28Madame_Pierre_Gautreau%29%2C_John_Singer_Sargent%2C_1884_%28unfree_frame_crop%29.jpg,That Girl,Waif,That Girl
Portrait of a Man (Self Portrait?),https://upload.wikimedia.org/wikipedia/commons/8/8b/Portrait_of_a_Man_by_Jan_van_Eyck-small.jpg,Grandpacore,Coquette,Old Money
