Title,zero-shot classification,two-shot classification
The Death of the Earl of Chatham,Dark Academia,Queencore
The Procuress (Vermeer),Baroque,Dark Academia
The Baptism of the Eunuch,Baroque,Baroque
"Saint Sebastian (El Greco, 1576–1579)",Renaissance,Dark Academia
Portrait of Pope Paul III (Titian),Dark Academia,Dark Academia
Galaxy of Musicians,Royalcore,Royalcore
An Ancient Burial Mound by Raklev on Refsnæs,Cottagecore,Cottagecore
Madonna and Child with Four Saints and Donor,Italian Renaissance,Renaissancecore
The Luxembourg Station in Brussels,Industrial,Traincore
Exemplary Women of Antiquity,Renaissance,Dark Academia
The Sin (painting),Dark Academia,Dark Academia
Portrait of Robert Orme,Pastel Goth,Baroque
The Monk by the Sea,Monochrome,Dark Academia
The Song of Love,Surrealism,Surrealism
The Death of Captain James Cook (Zoffany),Dark Academia,Dark Academia
The Execution of Lady Jane Grey,Dark Academia,Dark Academia
The Body of the Dead Christ in the Tomb,Dark Academia,Dark Academia
The Vow of Louis XIII,Rococo,Baroque
The Misses Vickers,Royalcore,Dark Academia
The Oyster Dinner,Baroque,Rococo Core
Aha Oe Feii?,Tropical,Gauguin Core
Isabella and the Pot of Basil,Pre-Raphaelite,Victorian
The Immaculate Conception (Tiepolo),Baroque,Angelcore
The King's Sick Son,Baroque,Baroque
The Cornell Farm,Cottagecore,Cottagecore
"A Girl in the Street, Two Coaches in the Background",Dark Academia,Dark Academia
Minerva Protecting Peace from Mars,Baroque,Dark Academia
Marcus Curius Dentatus refuses the gifts of the Samnites,Baroque,Baroque
Black Leaf on Green Background,Art Hoe,Cut-Out
Cymon and Iphigenia (painting),Dark Academia,Dark Academia
The Blind Leading the Blind,Dark Academia,Dark Academia
The Wrestlers (Courbet),Academia,Dark Academia
Spring Scattering Stars,Dreamcore,Dreamcore
Christ among the Doctors (Dürer),Classicism,Dark Academia
The Defence of Rorke's Drift,Dark Academia,Dark Academia
An Old Man and his Grandson,Baroque,Can't determine
Landscape near Beauvais,Cottagecore,Cottagecore
Melancholy (Edvard Munch),Dark Academic,Dark Academia
Stevenson Memorial,Angelic,Angelcore
Portrait of a Woman (van der Weyden),Cottagecore,Renaissancecore
El Soplón,Dark Academia,Dark Academia
Pink and Blue (Renoir),Cottagecore,Royalcore
Wheatfield with Crows,Van Goghcore,Art Hoe
Portrait of an Elderly Woman,Dark Academia,Dark Academia
Aeropittura,Futurism,Surrealism
Saint George and the Dragon (Raphael),Medieval,Dark Academia
Annunciation (Pontormo),Baroque,Baroque
Self-portrait at the age of 34,Baroque,Dark Academia
Crucifixion (Nabil Kanso),Dark Academia,Dark Academia
Young Man at His Window,Art Hoe,Dark Academia
The Tower of Blue Horses,Avant-Garde,Expressionism
Stage Fort across Gloucester Harbor,Cottagecore,Light Academia
Landscape with Psyche Outside the Palace of Cupid,Dark Academia,Dark Academia
"Young Omahaw, War Eagle, Little Missouri, and Pawnees",Dark Academia,Afrofuturism
"Deposition (van Dyck, 1629-30)",Dark Academia,Dark Academia
Psyche Abandoned,Classical Art,Romantic Academia
View from the Artist's Window,Vintage,Cottagecore
Cleopatra Testing Poisons on Condemned Prisoners,Ancient Egyptian,Dark Academia
The Bar (painting),Noir,Indie
Portrait of Madame X,Dark Academia,Dark Academia
Portrait of a Man (Self Portrait?),Dark Academia,Baroque
Water Mill at Gennep,Cottagecore,Dark Academia
Baptism in Kansas,Farmcore,Cowboy Core
Portrait of a Young Man with a Book (Bronzino),Dark Academia,Dark Academia
Juno and Argus,Baroque,Baroque
Two Women Bathing,Rococo,Baroque
"Venus and Adonis (Veronese, Augsburg)",Baroque,Dark Academia
Falling Autumn Leaves,Cottagecore,Cottagecore
